Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	974849	14215	538501	294402	164865
Philadelphia Phillies	NL	1000000	971880	16436	536702	267762	144042
Chicago Cubs	NL	999882	24796	538617	272300	138983	73185
Los Angeles Dodgers	NL	995856	27819	537172	264931	126987	64579
San Diego Padres	NL	978617	656	449492	195102	88981	42303
New York Mets	NL	481332	0	199399	86035	36962	16940
San Francisco Giants	NL	327817	0	152783	67288	29317	13664
Cincinnati Reds	NL	179437	0	77133	33080	14170	6485
Arizona Diamondbacks	NL	30812	0	12543	5260	2147	941
St. Louis Cardinals	NL	6147	0	2172	789	284	110
Miami Marlins	NL	100	0	38	12	5	1
Detroit Tigers	AL	997232	846175	80439	485506	245455	117322
Toronto Blue Jays	AL	999806	823777	92143	451311	226163	105045
New York Yankees	AL	992076	134396	448557	305817	163396	82329
Boston Red Sox	AL	892310	27512	429233	230984	119803	58210
Seattle Mariners	AL	887111	110992	385702	232992	108082	48017
Houston Astros	AL	735016	45392	326913	171545	76693	33126
Texas Rangers	AL	426664	10047	205831	107953	54802	26685
Cleveland Guardians	AL	63140	1709	27828	12452	5001	1913
Kansas City Royals	AL	6149	0	3105	1326	560	219
Tampa Bay Rays	AL	496	0	249	114	45	19
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	843508	131341	224	24909	18	0
Philadelphia Phillies	NL	147285	824595	28117	0	3	0
Chicago Cubs	NL	8950	15846	131	949124	24951	880
Los Angeles Dodgers	NL	250	27569	801944	2381	142212	21500
San Diego Padres	NL	7	649	159541	21853	719588	76979
San Francisco Giants	NL	0	0	9922	202	31956	285737
Arizona Diamondbacks	NL	0	0	118	0	2509	28185
New York Mets	NL	0	0	3	1335	64794	415200
Cincinnati Reds	NL	0	0	0	196	13943	165298
St. Louis Cardinals	NL	0	0	0	0	26	6121
Miami Marlins	NL	0	0	0	0	0	100
Toronto Blue Jays	AL	672478	151299	11035	142931	19350	2713
Detroit Tigers	AL	218210	627965	146591	307	1653	2506
New York Yankees	AL	83159	51237	1917	606200	212259	37304
Boston Red Sox	AL	15048	12464	1363	224201	439600	199634
Houston Astros	AL	5822	39570	332046	12302	101675	243601
Seattle Mariners	AL	5160	105832	417533	8181	115264	235141
Texas Rangers	AL	112	9935	83990	5361	101240	226026
Cleveland Guardians	AL	11	1698	5525	515	8441	46950
Kansas City Royals	AL	0	0	0	2	464	5683
Tampa Bay Rays	AL	0	0	0	0	54	442
