Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	980487	11059	536790	292554	163183
Philadelphia Phillies	NL	1000000	946655	31112	521756	257718	136792
Chicago Cubs	NL	999989	18849	541264	271511	138834	73158
Los Angeles Dodgers	NL	999810	53367	538163	286884	140179	72785
San Diego Padres	NL	995446	642	454199	199418	92649	44595
New York Mets	NL	619515	0	255565	111100	47774	21922
San Francisco Giants	NL	197546	0	90833	39567	16722	7586
Cincinnati Reds	NL	91090	0	38171	16235	6754	3060
Arizona Diamondbacks	NL	89286	0	37020	15769	6467	2837
St. Louis Cardinals	NL	7206	0	2564	956	345	143
Miami Marlins	NL	112	0	50	14	4	1
Toronto Blue Jays	AL	999989	913941	45638	476765	243599	114278
Detroit Tigers	AL	995463	781403	114534	469869	235085	113129
New York Yankees	AL	993065	69400	485789	288044	153713	77243
Seattle Mariners	AL	945049	189650	383237	273147	128008	57237
Boston Red Sox	AL	886452	10091	432459	222661	115001	56142
Houston Astros	AL	668387	26819	303301	151418	67500	29138
Texas Rangers	AL	400858	5463	187582	96705	48537	23518
Cleveland Guardians	AL	108492	3233	46358	20928	8374	3176
Kansas City Royals	AL	2144	0	1051	437	173	71
Tampa Bay Rays	AL	101	0	51	26	10	6
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	863812	116675	437	19046	30	0
Philadelphia Phillies	NL	129110	817545	53345	0	0	0
Chicago Cubs	NL	6454	12395	227	941506	38937	470
Los Angeles Dodgers	NL	614	52753	839156	3080	101999	2208
San Diego Padres	NL	10	632	106451	35825	815595	36933
San Francisco Giants	NL	0	0	325	8	3205	194008
Arizona Diamondbacks	NL	0	0	59	2	3691	85534
New York Mets	NL	0	0	0	529	35430	583556
Cincinnati Reds	NL	0	0	0	4	1110	89976
St. Louis Cardinals	NL	0	0	0	0	3	7203
Miami Marlins	NL	0	0	0	0	0	112
Toronto Blue Jays	AL	820572	93369	5313	73203	6914	618
Detroit Tigers	AL	117530	663873	203920	915	3846	5379
New York Yankees	AL	47748	21652	729	698564	189690	34682
Boston Red Sox	AL	6366	3725	526	197086	456955	221794
Seattle Mariners	AL	5977	183673	478610	9044	104797	162948
Houston Astros	AL	1789	25030	251490	13966	110022	266090
Texas Rangers	AL	12	5451	47968	5968	111191	230268
Cleveland Guardians	AL	6	3227	11444	1254	16453	76108
Kansas City Royals	AL	0	0	0	0	128	2016
Tampa Bay Rays	AL	0	0	0	0	4	97
