Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	984765	8485	537290	294826	164088
Philadelphia Phillies	NL	999989	891612	62177	510447	251033	132682
Chicago Cubs	NL	997916	13991	534710	265303	136467	72104
Los Angeles Dodgers	NL	989143	93454	484571	276360	132536	67042
San Diego Padres	NL	981575	15469	457534	208742	95907	45946
New York Mets	NL	695614	684	299944	134449	59939	28402
San Francisco Giants	NL	191122	25	90132	40132	17684	8217
Cincinnati Reds	NL	118642	0	52007	22967	9869	4570
Arizona Diamondbacks	NL	17760	0	7367	3172	1320	590
St. Louis Cardinals	NL	8237	0	3073	1138	419	159
Miami Marlins	NL	2	0	0	0	0	0
Detroit Tigers	AL	998908	934291	35200	509233	259972	126605
Toronto Blue Jays	AL	999228	745486	127533	425795	209420	97064
New York Yankees	AL	990808	133353	441291	302892	163687	83020
Boston Red Sox	AL	978078	103750	435096	276949	145257	71249
Seattle Mariners	AL	788163	38132	380582	193992	88461	39066
Houston Astros	AL	760674	38982	342108	175510	78451	33995
Texas Rangers	AL	331814	4147	165940	83995	41826	20060
Cleveland Guardians	AL	88418	1829	40440	17414	6803	2521
Kansas City Royals	AL	43373	18	21490	9233	3802	1584
Tampa Bay Rays	AL	20520	12	10314	4986	2320	1036
Los Angeles Angels	AL	14	0	5	1	1	0
Baltimore Orioles	AL	2	0	1	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	921243	63522	919	14225	91	0
Philadelphia Phillies	NL	70193	821419	106493	688	864	332
Chicago Cubs	NL	7286	6705	325	860177	107461	15962
Los Angeles Dodgers	NL	845	92609	646580	19502	190571	39036
San Diego Padres	NL	433	15036	239034	84752	545410	96910
New York Mets	NL	0	684	1211	19046	123176	551497
San Francisco Giants	NL	0	25	5329	952	22012	162804
Arizona Diamondbacks	NL	0	0	109	6	1217	16428
Cincinnati Reds	NL	0	0	0	646	9102	108894
St. Louis Cardinals	NL	0	0	0	6	96	8135
Miami Marlins	NL	0	0	0	0	0	2
Toronto Blue Jays	AL	519378	226108	12720	185420	50351	5251
Detroit Tigers	AL	350658	583633	61496	159	861	2101
New York Yankees	AL	73179	60174	2219	427021	387842	40373
Boston Red Sox	AL	50051	53699	2457	377240	423908	70723
Houston Astros	AL	5276	33706	435896	4630	44581	236585
Seattle Mariners	AL	1407	36725	387839	3317	49075	309800
Texas Rangers	AL	37	4110	95003	1491	31480	199693
Cleveland Guardians	AL	14	1815	2347	450	7864	75928
Kansas City Royals	AL	0	18	19	109	2108	41119
Tampa Bay Rays	AL	0	12	3	163	1930	18412
Los Angeles Angels	AL	0	0	1	0	0	13
Baltimore Orioles	AL	0	0	0	0	0	2
