Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	943851	31653	525597	290641	162511
Philadelphia Phillies	NL	999653	831339	92025	489231	238483	125935
Chicago Cubs	NL	998864	55132	517651	278896	145675	77905
Los Angeles Dodgers	NL	966988	116798	456684	276000	130496	66204
New York Mets	NL	888405	28499	389304	192118	88899	43581
San Diego Padres	NL	933342	24167	415462	194786	87300	41613
San Francisco Giants	NL	129270	203	61090	27524	11815	5445
Arizona Diamondbacks	NL	42007	11	18081	7945	3323	1501
Cincinnati Reds	NL	37255	0	16529	7327	3144	1451
St. Louis Cardinals	NL	4180	0	1499	565	221	90
Atlanta Braves	NL	12	0	7	4	1	1
Miami Marlins	NL	24	0	15	7	2	0
Detroit Tigers	AL	999144	917774	44721	506342	254030	120839
Toronto Blue Jays	AL	999418	802060	101672	442496	222152	104058
New York Yankees	AL	991065	118343	460786	310394	172439	88838
Boston Red Sox	AL	960560	57767	439672	251672	131459	63742
Houston Astros	AL	853832	82619	359274	202848	88836	38384
Seattle Mariners	AL	533260	14087	253863	120169	52631	22210
Texas Rangers	AL	311359	5904	161601	84503	42931	20812
Kansas City Royals	AL	221052	885	112780	50697	21507	8721
Tampa Bay Rays	AL	93400	122	48239	23500	11137	5087
Cleveland Guardians	AL	36639	439	17278	7333	2860	1066
Los Angeles Angels	AL	246	0	105	42	15	5
Baltimore Orioles	AL	21	0	9	4	3	1
Athletics	AL	3	0	0	0	0	0
Minnesota Twins	AL	1	0	0	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	902787	41064	573	55363	211	2
Philadelphia Phillies	NL	55014	776325	121736	11753	28105	6720
Chicago Cubs	NL	40548	14584	444	853640	75990	13658
Los Angeles Dodgers	NL	1130	115668	615987	5302	125760	103141
San Diego Padres	NL	449	23718	226563	25757	386070	270785
New York Mets	NL	72	28427	18426	47509	353761	440210
San Francisco Giants	NL	0	203	13657	477	19555	95378
Arizona Diamondbacks	NL	0	11	2614	15	5193	34174
Cincinnati Reds	NL	0	0	0	179	5152	31924
St. Louis Cardinals	NL	0	0	0	5	203	3972
Miami Marlins	NL	0	0	0	0	0	24
Atlanta Braves	NL	0	0	0	0	0	12
Toronto Blue Jays	AL	619569	182491	16682	146849	30871	2956
Detroit Tigers	AL	258223	659551	79276	68	539	1487
New York Yankees	AL	77218	41125	2973	484602	351701	33446
Boston Red Sox	AL	31099	26668	2016	356591	459859	84327
Houston Astros	AL	13620	68999	595642	3455	33074	139042
Seattle Mariners	AL	195	13892	190154	2762	48530	277727
Texas Rangers	AL	31	5873	111566	1539	33160	159190
Kansas City Royals	AL	30	855	680	2747	26628	190112
Tampa Bay Rays	AL	14	108	37	1255	12884	79102
Cleveland Guardians	AL	1	438	946	132	2747	32375
Los Angeles Angels	AL	0	0	28	0	5	213
Baltimore Orioles	AL	0	0	0	0	2	19
Athletics	AL	0	0	0	0	0	3
Minnesota Twins	AL	0	0	0	0	0	1
