Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	990930	5117	541750	301627	169325
Philadelphia Phillies	NL	999882	832666	93131	491058	237892	124908
Chicago Cubs	NL	997649	8708	533616	258974	133723	70656
Los Angeles Dodgers	NL	980249	115344	457120	274787	130700	66154
San Diego Padres	NL	972461	42085	448384	219705	100593	48995
New York Mets	NL	823106	10239	362297	169649	76880	37113
Cincinnati Reds	NL	93547	0	40921	17938	7687	3517
San Francisco Giants	NL	74785	20	35253	15712	6637	3030
Arizona Diamondbacks	NL	42520	8	18154	8070	3398	1500
St. Louis Cardinals	NL	15770	0	5993	2350	859	341
Miami Marlins	NL	31	0	14	7	4	1
Detroit Tigers	AL	998679	902488	52298	500457	251610	120521
New York Yankees	AL	997151	243850	402075	348732	192973	99664
Toronto Blue Jays	AL	998614	654512	176526	402652	200344	92746
Boston Red Sox	AL	958766	72508	427469	251377	130697	62974
Houston Astros	AL	869076	90861	364785	211091	93795	40941
Seattle Mariners	AL	696786	31008	335108	170424	77289	33808
Texas Rangers	AL	226705	3189	113774	58034	29047	13920
Kansas City Royals	AL	174942	518	89601	40132	17179	7083
Cleveland Guardians	AL	55360	1061	25891	11060	4204	1531
Tampa Bay Rays	AL	23847	5	12447	6032	2859	1272
Los Angeles Angels	AL	71	0	25	8	2	0
Baltimore Orioles	AL	2	0	1	1	1	0
Athletics	AL	1	0	0	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	972899	18031	264	8781	25	0
Philadelphia Phillies	NL	20052	812614	145570	6337	10450	4859
Chicago Cubs	NL	6366	2342	98	857175	106508	25160
San Diego Padres	NL	437	41648	292815	66450	429288	141823
Los Angeles Dodgers	NL	243	115101	545697	19963	213115	86130
New York Mets	NL	3	10236	11525	40062	213803	547477
San Francisco Giants	NL	0	20	2698	337	10210	61520
Arizona Diamondbacks	NL	0	8	1333	25	4677	36477
Cincinnati Reds	NL	0	0	0	838	11229	81480
St. Louis Cardinals	NL	0	0	0	32	695	15043
Miami Marlins	NL	0	0	0	0	0	31
Toronto Blue Jays	AL	476903	177609	20161	253924	62183	7834
Detroit Tigers	AL	304818	597670	93338	101	740	2012
New York Yankees	AL	164634	79216	5689	483589	244806	19217
Boston Red Sox	AL	36911	35597	3270	251626	525316	106046
Houston Astros	AL	15787	75074	553094	4667	43282	177172
Seattle Mariners	AL	906	30102	262630	3269	69104	330775
Texas Rangers	AL	24	3165	59212	681	28357	135266
Kansas City Royals	AL	14	504	485	1715	19232	152992
Cleveland Guardians	AL	3	1058	2110	200	4244	47745
Tampa Bay Rays	AL	0	5	5	228	2732	20877
Los Angeles Angels	AL	0	0	6	0	4	61
Baltimore Orioles	AL	0	0	0	0	0	2
Athletics	AL	0	0	0	0	0	1
