Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	905972	52765	514833	283672	158164
Philadelphia Phillies	NL	999046	644183	193863	434633	210370	109678
Los Angeles Dodgers	NL	990573	275613	379402	324322	156009	79748
Chicago Cubs	NL	998275	85731	497735	286178	148978	79075
San Diego Padres	NL	972291	63824	415516	215406	98086	47147
New York Mets	NL	868858	24592	384675	190739	88316	43260
Cincinnati Reds	NL	86948	0	38107	17035	7393	3327
San Francisco Giants	NL	64150	79	29676	13229	5704	2629
Arizona Diamondbacks	NL	14342	6	6118	2788	1166	502
St. Louis Cardinals	NL	5261	0	2032	786	284	117
Miami Marlins	NL	254	0	110	51	22	8
Atlanta Braves	NL	2	0	1	0	0	0
Detroit Tigers	AL	999057	882841	63828	493503	246792	118108
New York Yankees	AL	991963	237456	396004	343543	191392	99490
Toronto Blue Jays	AL	995958	562172	213192	371134	182228	83323
Boston Red Sox	AL	979591	163451	406176	294265	156513	77651
Houston Astros	AL	851498	112252	349811	212061	93132	40193
Seattle Mariners	AL	670050	34200	311962	157567	69491	29568
Texas Rangers	AL	272342	6603	138621	73290	36946	18096
Kansas City Royals	AL	152326	733	77199	34465	14391	5833
Tampa Bay Rays	AL	68526	65	34913	16775	7865	3649
Cleveland Guardians	AL	18076	227	8033	3288	1220	427
Los Angeles Angels	AL	599	0	253	106	30	7
Minnesota Twins	AL	7	0	4	3	0	0
Baltimore Orioles	AL	5	0	2	0	0	0
Athletics	AL	2	0	2	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	848572	57400	5061	86591	2327	49
Philadelphia Phillies	NL	72803	571380	285466	12361	33747	23289
Chicago Cubs	NL	62130	23601	3236	774799	108312	26197
Los Angeles Dodgers	NL	12424	263189	487330	16514	148909	62207
San Diego Padres	NL	3872	59952	170697	73454	470557	193759
New York Mets	NL	198	24394	45759	35381	216896	546230
San Francisco Giants	NL	1	78	2212	245	6954	54660
Arizona Diamondbacks	NL	0	6	239	4	1181	12912
Cincinnati Reds	NL	0	0	0	646	10998	75304
St. Louis Cardinals	NL	0	0	0	5	119	5137
Miami Marlins	NL	0	0	0	0	0	254
Atlanta Braves	NL	0	0	0	0	0	2
Toronto Blue Jays	AL	393712	168460	23294	272422	121577	16493
Detroit Tigers	AL	333904	548937	114659	41	305	1211
New York Yankees	AL	155593	81863	6982	364652	345948	36925
Boston Red Sox	AL	92536	70915	6550	347732	398945	62913
Houston Astros	AL	22680	89572	523645	5846	36839	172916
Seattle Mariners	AL	1425	32775	237979	4989	51155	341727
Texas Rangers	AL	119	6484	85268	1271	22066	157134
Kansas City Royals	AL	24	709	758	1986	14257	134592
Tampa Bay Rays	AL	7	58	30	1012	7994	59425
Cleveland Guardians	AL	0	227	782	49	907	16111
Los Angeles Angels	AL	0	0	53	0	7	539
Minnesota Twins	AL	0	0	0	0	0	7
Baltimore Orioles	AL	0	0	0	0	0	5
Athletics	AL	0	0	0	0	0	2
