Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	970757	16508	534183	291212	161321
Philadelphia Phillies	NL	999999	913579	50484	517649	256431	136355
Chicago Cubs	NL	999254	27542	533445	271988	139336	73467
Los Angeles Dodgers	NL	995015	83445	509861	284893	138031	70431
San Diego Padres	NL	975476	4591	448359	198842	91156	43640
New York Mets	NL	623639	85	260692	114287	50250	23389
Cincinnati Reds	NL	209748	0	91551	39464	16910	7765
San Francisco Giants	NL	157460	1	73299	32157	14014	6467
Arizona Diamondbacks	NL	32944	0	13438	5647	2341	1068
St. Louis Cardinals	NL	6454	0	2359	889	319	122
Miami Marlins	NL	11	0	4	1	0	0
Detroit Tigers	AL	999698	948597	27635	512008	268718	132630
Toronto Blue Jays	AL	998631	743668	129906	431369	208362	96087
New York Yankees	AL	979380	121605	440437	292081	155232	77678
Boston Red Sox	AL	948478	90180	433349	267930	139570	68387
Seattle Mariners	AL	820186	37039	393319	200266	92304	40593
Houston Astros	AL	796990	55147	349249	185481	82262	35559
Texas Rangers	AL	362940	3349	181100	91443	45530	21830
Kansas City Royals	AL	45611	12	22761	9848	4073	1632
Cleveland Guardians	AL	40977	398	18723	7862	3111	1172
Tampa Bay Rays	AL	7087	5	3512	1707	837	406
Los Angeles Angels	AL	20	0	8	4	1	1
Baltimore Orioles	AL	2	0	1	1	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	863509	107248	1169	27963	111	0
Philadelphia Phillies	NL	122569	791010	86146	82	141	51
Chicago Cubs	NL	12340	15202	532	899790	65083	6307
Los Angeles Dodgers	NL	1454	81991	748472	7756	135709	19633
San Diego Padres	NL	128	4463	160199	54627	656773	99286
New York Mets	NL	0	85	190	8712	105699	508953
San Francisco Giants	NL	0	1	3112	232	14605	139510
Arizona Diamondbacks	NL	0	0	180	1	2927	29836
Cincinnati Reds	NL	0	0	0	837	18915	189996
St. Louis Cardinals	NL	0	0	0	0	37	6417
Miami Marlins	NL	0	0	0	0	0	11
Detroit Tigers	AL	511172	437425	50199	80	312	510
Toronto Blue Jays	AL	408740	334928	33128	169518	43425	8892
New York Yankees	AL	40427	81178	5312	432789	346130	73544
Boston Red Sox	AL	28276	61904	6097	364993	363188	124020
Houston Astros	AL	8235	46912	426152	14748	82064	218879
Seattle Mariners	AL	3051	33988	385807	11229	93249	292862
Texas Rangers	AL	93	3256	92506	5741	61361	199983
Cleveland Guardians	AL	6	392	788	400	4879	34512
Kansas City Royals	AL	0	12	6	411	4480	40702
Tampa Bay Rays	AL	0	5	5	91	912	6074
Los Angeles Angels	AL	0	0	0	0	0	20
Baltimore Orioles	AL	0	0	0	0	0	2
