Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	999999	953770	26058	530362	294992	165894
Philadelphia Phillies	NL	998641	653332	190096	439451	212192	110367
Los Angeles Dodgers	NL	986996	271375	383720	323952	154486	78486
Chicago Cubs	NL	997719	43796	519681	272138	141616	74726
San Diego Padres	NL	961650	53902	415558	209660	95301	45562
New York Mets	NL	842603	23590	369761	182447	83575	40646
San Francisco Giants	NL	100856	218	47197	21084	9036	4201
Cincinnati Reds	NL	71466	0	31417	13955	5970	2771
Arizona Diamondbacks	NL	29454	17	12528	5455	2258	999
St. Louis Cardinals	NL	10488	0	3928	1474	563	227
Miami Marlins	NL	102	0	45	17	8	3
Atlanta Braves	NL	23	0	10	5	3	2
Pittsburgh Pirates	NL	3	0	1	0	0	0
Detroit Tigers	AL	999549	903399	53423	499969	253190	121800
New York Yankees	AL	990233	162834	435173	323416	180067	93235
Toronto Blue Jays	AL	998410	678280	162078	408266	201452	93133
Boston Red Sox	AL	973408	103347	429087	272787	143588	70782
Houston Astros	AL	911527	134533	368454	231684	102189	44388
Seattle Mariners	AL	629463	14710	298299	141272	61616	26121
Texas Rangers	AL	229441	2303	117953	60330	30459	14910
Tampa Bay Rays	AL	108636	147	55558	27311	12981	5993
Kansas City Royals	AL	124345	166	63913	28349	11987	4864
Cleveland Guardians	AL	33601	281	15467	6393	2400	871
Los Angeles Angels	AL	1376	0	586	221	71	19
Baltimore Orioles	AL	7	0	5	1	0	0
Athletics	AL	1	0	1	1	0	0
Minnesota Twins	AL	3	0	3	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	923851	29919	1467	44147	609	6
Philadelphia Phillies	NL	34952	618380	280082	12296	32341	20590
Chicago Cubs	NL	34082	9714	967	822667	105328	24961
Los Angeles Dodgers	NL	5468	265907	505069	14687	137281	58584
San Diego Padres	NL	1590	52312	164129	69430	477016	197173
New York Mets	NL	57	23533	42996	35606	221061	519350
San Francisco Giants	NL	0	218	4668	528	13076	82366
Arizona Diamondbacks	NL	0	17	622	21	3232	25562
Cincinnati Reds	NL	0	0	0	596	9609	61261
St. Louis Cardinals	NL	0	0	0	22	446	10020
Miami Marlins	NL	0	0	0	0	1	101
Atlanta Braves	NL	0	0	0	0	0	23
Pittsburgh Pirates	NL	0	0	0	0	0	3
Toronto Blue Jays	AL	454782	223498	38107	208320	66033	7670
Detroit Tigers	AL	369925	533474	95216	45	223	666
New York Yankees	AL	94229	68605	10104	404743	367883	44669
Boston Red Sox	AL	48964	54383	7104	370268	416499	76190
Houston Astros	AL	31552	102981	611758	5951	35641	123644
Seattle Mariners	AL	492	14218	177099	5988	64123	367543
Texas Rangers	AL	29	2274	59517	1283	23028	143310
Tampa Bay Rays	AL	15	132	77	2105	13474	92833
Kansas City Royals	AL	8	158	243	1154	10710	112072
Cleveland Guardians	AL	4	277	695	143	2336	30146
Los Angeles Angels	AL	0	0	80	0	50	1246
Baltimore Orioles	AL	0	0	0	0	0	7
Minnesota Twins	AL	0	0	0	0	0	3
Athletics	AL	0	0	0	0	0	1
