Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	999999	919843	44699	519164	286236	159448
Philadelphia Phillies	NL	999120	589847	227372	422615	204879	106775
Los Angeles Dodgers	NL	994601	323232	355771	338464	163757	84395
Chicago Cubs	NL	996489	66906	503109	278881	144793	76853
San Diego Padres	NL	981988	87800	417976	229096	105216	51164
New York Mets	NL	799597	12336	350176	166710	75801	36332
Cincinnati Reds	NL	147667	0	64864	29075	12648	5860
San Francisco Giants	NL	62839	32	28780	12875	5426	2472
Arizona Diamondbacks	NL	11161	4	4776	2158	908	394
St. Louis Cardinals	NL	5516	0	2072	824	291	121
Miami Marlins	NL	998	0	397	135	44	15
Atlanta Braves	NL	22	0	7	3	1	0
Pittsburgh Pirates	NL	3	0	1	0	0	0
Detroit Tigers	AL	998980	890602	60078	495849	254466	123405
New York Yankees	AL	979593	233726	393795	338225	185727	95687
Toronto Blue Jays	AL	989850	518625	233437	362567	174390	79078
Boston Red Sox	AL	955100	163430	397929	289862	152620	75328
Houston Astros	AL	859745	147353	338164	223706	99941	43435
Seattle Mariners	AL	677028	37162	308496	156486	69070	29541
Texas Rangers	AL	299246	7842	150585	80253	41023	20170
Kansas City Royals	AL	177845	956	87454	39503	16742	6974
Tampa Bay Rays	AL	40081	59	20139	9547	4523	2039
Cleveland Guardians	AL	22281	245	9826	3960	1485	506
Los Angeles Angels	AL	236	0	95	40	11	7
Athletics	AL	7	0	1	1	1	1
Baltimore Orioles	AL	2	0	1	1	1	0
Minnesota Twins	AL	6	0	0	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	852652	67191	8770	67991	3357	38
Philadelphia Phillies	NL	72264	517583	359509	8912	20206	20646
Chicago Cubs	NL	46262	20644	4480	727109	161273	36721
Los Angeles Dodgers	NL	20873	302359	425056	34893	168633	42787
San Diego Padres	NL	7861	79939	162884	130724	478210	122370
New York Mets	NL	88	12248	38308	28335	145598	575020
San Francisco Giants	NL	0	32	929	278	5620	55980
Arizona Diamondbacks	NL	0	4	63	4	684	10406
Cincinnati Reds	NL	0	0	1	1752	16322	129592
St. Louis Cardinals	NL	0	0	0	2	87	5427
Miami Marlins	NL	0	0	0	0	10	988
Atlanta Braves	NL	0	0	0	0	0	22
Pittsburgh Pirates	NL	0	0	0	0	0	3
Detroit Tigers	AL	465572	425030	106484	173	557	1164
Toronto Blue Jays	AL	298955	219670	50312	269155	122058	29700
New York Yankees	AL	124430	109296	17308	351177	310637	66745
Boston Red Sox	AL	71316	92114	16483	334393	342562	98232
Houston Astros	AL	35661	111692	485068	16576	59305	151443
Seattle Mariners	AL	3587	33575	232643	15587	86004	305632
Texas Rangers	AL	389	7453	89911	4799	40529	156165
Kansas City Royals	AL	82	874	913	6717	28886	140373
Cleveland Guardians	AL	6	239	800	277	2728	18231
Tampa Bay Rays	AL	2	57	57	1146	6721	32098
Los Angeles Angels	AL	0	0	21	0	11	204
Athletics	AL	0	0	0	0	2	5
Minnesota Twins	AL	0	0	0	0	0	6
Baltimore Orioles	AL	0	0	0	0	0	2
