Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	975591	13635	535421	295317	166004
Philadelphia Phillies	NL	999910	891073	60077	508371	248324	131450
Chicago Cubs	NL	998572	23831	534481	269965	140910	74986
Los Angeles Dodgers	NL	959683	69107	470067	256394	121593	61029
San Diego Padres	NL	952346	25888	439651	206459	92800	44434
New York Mets	NL	856661	14439	377129	177274	81488	39650
San Francisco Giants	NL	103378	47	49049	21816	9415	4390
Arizona Diamondbacks	NL	63977	24	27588	11934	5021	2220
Cincinnati Reds	NL	57597	0	25339	11232	4706	2142
St. Louis Cardinals	NL	7861	0	2975	1130	425	172
Miami Marlins	NL	12	0	7	2	1	0
Atlanta Braves	NL	3	0	2	2	0	0
Detroit Tigers	AL	999409	919869	44086	507697	257499	124143
Toronto Blue Jays	AL	999027	732397	139339	428305	212759	98885
New York Yankees	AL	994808	177701	438781	331721	184009	94723
Boston Red Sox	AL	936739	45244	431049	238658	123734	59405
Houston Astros	AL	910353	108879	375658	224501	101044	43902
Seattle Mariners	AL	606712	13329	289977	137543	60847	25815
Kansas City Royals	AL	271197	731	138794	62632	27300	11567
Texas Rangers	AL	187101	1462	95215	47624	23551	11196
Tampa Bay Rays	AL	48885	14	25180	12225	5771	2636
Cleveland Guardians	AL	45671	374	21869	9076	3479	1247
Los Angeles Angels	AL	74	0	39	14	5	3
Athletics	AL	8	0	4	1	1	1
Baltimore Orioles	AL	16	0	9	3	1	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	934254	41337	414	23941	53	1
Philadelphia Phillies	NL	49109	841964	85881	7237	12473	3246
Chicago Cubs	NL	15998	7833	164	873917	83148	17512
San Diego Padres	NL	398	25490	322588	34394	373878	195598
Los Angeles Dodgers	NL	232	68875	568420	9843	185456	126857
New York Mets	NL	9	14430	8607	49786	310544	473285
San Francisco Giants	NL	0	47	9586	420	16638	76687
Arizona Diamondbacks	NL	0	24	4340	35	9220	50358
Cincinnati Reds	NL	0	0	0	418	8128	49051
St. Louis Cardinals	NL	0	0	0	9	462	7390
Miami Marlins	NL	0	0	0	0	0	12
Atlanta Braves	NL	0	0	0	0	0	3
Toronto Blue Jays	AL	502646	229751	33102	192307	36154	5067
Detroit Tigers	AL	350528	569341	77515	85	727	1213
New York Yankees	AL	105500	72201	7957	533691	248295	27164
Houston Astros	AL	22082	86797	636104	5288	41999	118083
Boston Red Sox	AL	18853	26391	3565	257012	499762	131156
Seattle Mariners	AL	338	12991	193100	4831	86093	309359
Kansas City Royals	AL	38	693	618	5135	45696	219017
Texas Rangers	AL	12	1450	47124	867	29129	108519
Cleveland Guardians	AL	3	371	893	225	4585	39594
Tampa Bay Rays	AL	0	14	20	559	7556	40736
Los Angeles Angels	AL	0	0	2	0	2	70
Baltimore Orioles	AL	0	0	0	0	1	15
Athletics	AL	0	0	0	0	1	7
