Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	992405	4244	540203	298600	166676
Philadelphia Phillies	NL	999961	851950	82936	497498	242691	127413
Chicago Cubs	NL	996449	6563	531093	257529	131971	69398
Los Angeles Dodgers	NL	984067	103881	463562	270876	130335	66102
San Diego Padres	NL	988395	42072	462761	226396	104134	50250
New York Mets	NL	793688	3115	348246	160017	72094	34634
San Francisco Giants	NL	124408	14	58929	26479	11491	5389
Cincinnati Reds	NL	72878	0	31796	14121	5981	2767
Arizona Diamondbacks	NL	28707	0	12025	5151	2081	956
St. Louis Cardinals	NL	11416	0	4397	1728	621	256
Atlanta Braves	NL	6	0	3	1	1	0
Miami Marlins	NL	24	0	8	1	0	0
Pittsburgh Pirates	NL	1	0	0	0	0	0
Detroit Tigers	AL	997997	890028	58705	495585	248083	119011
New York Yankees	AL	996082	235820	400882	343176	189806	98154
Toronto Blue Jays	AL	998465	642426	180196	396698	197066	91473
Boston Red Sox	AL	969577	94265	427788	265629	139221	67976
Houston Astros	AL	844147	89166	355829	205801	91037	39499
Seattle Mariners	AL	749499	41829	356635	186399	84713	37270
Texas Rangers	AL	263361	4529	131501	67745	33904	16305
Kansas City Royals	AL	92142	196	46592	20409	8527	3456
Cleveland Guardians	AL	70728	1735	32666	14202	5564	2081
Tampa Bay Rays	AL	17984	6	9200	4355	2079	934
Los Angeles Angels	AL	14	0	5	1	0	0
Baltimore Orioles	AL	3	0	1	0	0	0
Athletics	AL	1	0	0	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	957129	35276	849	6691	55	0
Philadelphia Phillies	NL	37559	814391	140083	2852	3233	1843
Chicago Cubs	NL	3879	2684	183	799204	155051	35448
San Diego Padres	NL	1003	41069	317537	113158	424763	90865
Los Angeles Dodgers	NL	430	103451	533447	40078	241750	64911
New York Mets	NL	0	3115	4852	36465	151910	597346
San Francisco Giants	NL	0	14	2710	1021	16099	104564
Arizona Diamondbacks	NL	0	0	339	24	2085	26259
Cincinnati Reds	NL	0	0	0	481	4780	67617
St. Louis Cardinals	NL	0	0	0	26	274	11116
Miami Marlins	NL	0	0	0	0	0	24
Atlanta Braves	NL	0	0	0	0	0	6
Pittsburgh Pirates	NL	0	0	0	0	0	1
Toronto Blue Jays	AL	471145	171281	18432	254555	73646	9406
Detroit Tigers	AL	300877	589151	104376	106	863	2624
New York Yankees	AL	161155	74665	5217	451017	279966	24062
Boston Red Sox	AL	50268	43997	3832	283515	495682	92283
Houston Astros	AL	15197	73969	504376	5205	43986	201414
Seattle Mariners	AL	1313	40516	294750	3665	62763	346492
Texas Rangers	AL	30	4499	65349	948	29472	163063
Cleveland Guardians	AL	14	1721	3443	284	5209	60057
Kansas City Royals	AL	1	195	222	561	6593	84570
Tampa Bay Rays	AL	0	6	2	144	1820	16012
Los Angeles Angels	AL	0	0	1	0	0	13
Baltimore Orioles	AL	0	0	0	0	0	3
Athletics	AL	0	0	0	0	0	1
