Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	991860	4622	540632	295474	165707
Philadelphia Phillies	NL	1000000	973911	15529	537341	267635	144127
Chicago Cubs	NL	999910	7859	544323	266110	135351	71279
Los Angeles Dodgers	NL	999190	26052	545679	269923	130534	66796
San Diego Padres	NL	992063	318	457298	199909	91888	44075
New York Mets	NL	465123	0	191387	82365	35085	16066
San Francisco Giants	NL	316207	0	146563	64087	27632	12846
Cincinnati Reds	NL	154216	0	64524	27219	11297	5168
Arizona Diamondbacks	NL	67606	0	28042	11693	4838	2141
St. Louis Cardinals	NL	5244	0	1847	655	241	93
Miami Marlins	NL	441	0	186	66	25	6
Detroit Tigers	AL	992515	733241	137836	455825	229061	108911
Toronto Blue Jays	AL	999900	837449	86037	452229	228071	105994
New York Yankees	AL	994680	143664	451181	313832	168430	84653
Seattle Mariners	AL	909402	179970	357512	253801	118293	52530
Boston Red Sox	AL	788527	9396	385168	199948	102912	49836
Houston Astros	AL	749729	74668	321200	184400	83153	36136
Texas Rangers	AL	490802	19015	228740	124943	63989	31290
Cleveland Guardians	AL	72545	2597	31430	14624	5925	2289
Kansas City Royals	AL	1340	0	629	278	113	42
Tampa Bay Rays	AL	560	0	267	120	53	15
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	858403	133457	206	7930	4	0
Philadelphia Phillies	NL	139450	834461	26089	0	0	0
Chicago Cubs	NL	1965	5894	75	942507	48478	991
Los Angeles Dodgers	NL	180	25872	838164	4714	122926	7334
San Diego Padres	NL	2	316	133629	43912	774224	39980
San Francisco Giants	NL	0	0	1755	98	13393	300961
Arizona Diamondbacks	NL	0	0	82	2	3432	64090
New York Mets	NL	0	0	0	777	32593	431753
Cincinnati Reds	NL	0	0	0	60	4949	149207
St. Louis Cardinals	NL	0	0	0	0	1	5243
Miami Marlins	NL	0	0	0	0	0	441
Toronto Blue Jays	AL	754907	82542	7447	142620	10594	1790
Detroit Tigers	AL	114675	618566	250467	395	3428	4984
New York Yankees	AL	110492	33172	1511	702817	121674	25014
Houston Astros	AL	7982	66686	299657	15614	139824	219966
Boston Red Sox	AL	6058	3338	533	122005	391792	264801
Seattle Mariners	AL	5734	174236	359268	9185	166133	194846
Texas Rangers	AL	139	18876	67422	6853	155337	242175
Cleveland Guardians	AL	13	2584	13694	510	11026	44718
Kansas City Royals	AL	0	0	1	1	131	1207
Tampa Bay Rays	AL	0	0	0	0	61	499
