Team	lg	po	bye	wcs	ds	lcs	ws
Milwaukee Brewers	NL	1000000	937213	35157	525397	290907	162239
Philadelphia Phillies	NL	999439	747836	138658	464520	225116	117127
Chicago Cubs	NL	997857	59408	509319	276297	143410	75532
Los Angeles Dodgers	NL	981066	184911	423336	296717	141612	71595
San Diego Padres	NL	961741	49147	424881	212348	97065	46237
New York Mets	NL	843963	21321	371434	181727	83504	40638
San Francisco Giants	NL	103967	150	48783	21735	9365	4211
Cincinnati Reds	NL	71464	0	31594	14035	6028	2786
Arizona Diamondbacks	NL	29596	14	12681	5579	2386	1070
St. Louis Cardinals	NL	10768	0	4086	1617	598	246
Miami Marlins	NL	128	0	67	27	9	4
Atlanta Braves	NL	6	0	2	1	0	0
Pittsburgh Pirates	NL	5	0	2	0	0	0
Detroit Tigers	AL	999647	921869	43030	505227	255212	122978
New York Yankees	AL	994491	202575	418626	336931	188179	98269
Toronto Blue Jays	AL	998123	662882	168592	403774	199494	92626
Boston Red Sox	AL	971386	99352	427157	268515	141365	69674
Houston Astros	AL	881722	94115	369990	211945	92249	39814
Seattle Mariners	AL	612731	15937	293037	138735	60467	25886
Texas Rangers	AL	225486	2586	117002	59896	30058	14783
Tampa Bay Rays	AL	139270	225	71894	35004	16488	7608
Kansas City Royals	AL	156116	316	80793	35973	15028	6148
Cleveland Guardians	AL	20526	143	9669	3933	1440	523
Los Angeles Angels	AL	491	0	205	66	19	6
Baltimore Orioles	AL	9	0	5	1	1	0
Minnesota Twins	AL	1	0	0	0	0	0
Athletics	AL	1	0	0	0	0	0
							
							
Team	lg	1	2	3	4	5	6
Milwaukee Brewers	NL	891208	46005	2065	59983	727	12
Philadelphia Phillies	NL	59175	688661	204392	11024	24297	11890
Chicago Cubs	NL	43193	16215	1314	812919	100227	23989
Los Angeles Dodgers	NL	4184	180727	542200	14785	160743	78427
San Diego Padres	NL	2139	47008	216840	59062	442244	194448
New York Mets	NL	101	21220	26451	40983	243293	511915
San Francisco Giants	NL	0	150	5739	588	14758	82732
Arizona Diamondbacks	NL	0	14	999	23	3329	25231
Cincinnati Reds	NL	0	0	0	611	9872	60981
St. Louis Cardinals	NL	0	0	0	22	509	10237
Miami Marlins	NL	0	0	0	0	1	127
Atlanta Braves	NL	0	0	0	0	0	6
Pittsburgh Pirates	NL	0	0	0	0	0	5
Toronto Blue Jays	AL	449808	213074	24077	229180	73575	8409
Detroit Tigers	AL	363344	558525	76978	28	186	586
New York Yankees	AL	120949	81626	6563	424954	332480	27919
Boston Red Sox	AL	47670	51682	4244	334080	458271	75439
Houston Astros	AL	17738	76377	610274	3701	30791	142841
Seattle Mariners	AL	446	15491	206887	3304	52150	334453
Texas Rangers	AL	21	2565	70164	661	19961	132114
Tampa Bay Rays	AL	14	211	82	2666	17997	118300
Kansas City Royals	AL	10	306	305	1383	13520	140592
Cleveland Guardians	AL	0	143	389	43	1058	18893
Los Angeles Angels	AL	0	0	37	0	10	444
Baltimore Orioles	AL	0	0	0	0	1	8
Minnesota Twins	AL	0	0	0	0	0	1
Athletics	AL	0	0	0	0	0	1
