game_id	game_date
823244	2026-03-25
823649	2026-03-26
823812	2026-03-26
824704	2026-03-26
824865	2026-03-26
824541	2026-03-26
824218	2026-03-26
823325	2026-03-26
823486	2026-03-26
823081	2026-03-26
823974	2026-03-26
823163	2026-03-26
823243	2026-03-27
822839	2026-03-27
823893	2026-03-27
824946	2026-03-27
824216	2026-03-27
823324	2026-03-27
823162	2026-03-27
823971	2026-03-27
823082	2026-03-28
824701	2026-03-28
822838	2026-03-28
824862	2026-03-28
823488	2026-03-28
823892	2026-03-28
823651	2026-03-28
824540	2026-03-28
824213	2026-03-28
823811	2026-03-28
824945	2026-03-28
823241	2026-03-28
823323	2026-03-28
823973	2026-03-28
823161	2026-03-28
823487	2026-03-29
824944	2026-03-29
824864	2026-03-29
822837	2026-03-29
824538	2026-03-29
823647	2026-03-29
823891	2026-03-29
824215	2026-03-29
823810	2026-03-29
823079	2026-03-29
824700	2026-03-29
823160	2026-03-29
824135	2026-03-30
824863	2026-03-30
824539	2026-03-30
823484	2026-03-30
823890	2026-03-30
822834	2026-03-30
824943	2026-03-30
823809	2026-03-30
824702	2026-03-30
823080	2026-03-30
824214	2026-03-30
823320	2026-03-30
823159	2026-03-30
825108	2026-03-30
823972	2026-03-30
824861	2026-03-31
824537	2026-03-31
823485	2026-03-31
823888	2026-03-31
822836	2026-03-31
824942	2026-03-31
824699	2026-03-31
823807	2026-03-31
823077	2026-03-31
824212	2026-03-31
823322	2026-03-31
825107	2026-03-31
823158	2026-03-31
823969	2026-03-31
824940	2026-04-01
824860	2026-04-01
824536	2026-04-01
823483	2026-04-01
822835	2026-04-01
823889	2026-04-01
823078	2026-04-01
823806	2026-04-01
824211	2026-04-01
824698	2026-04-01
825106	2026-04-01
823321	2026-04-01
823157	2026-04-01
824136	2026-04-01
823970	2026-04-01
824133	2026-04-02
825105	2026-04-02
823242	2026-04-02
822758	2026-04-03
824299	2026-04-03
823568	2026-04-03
824621	2026-04-03
824786	2026-04-03
822919	2026-04-03
823732	2026-04-03
824377	2026-04-03
824458	2026-04-03
823406	2026-04-03
824056	2026-04-03
825026	2026-04-03
825103	2026-04-03
823240	2026-04-03
824295	2026-04-04
824622	2026-04-04
824132	2026-04-04
823404	2026-04-04
825027	2026-04-04
822757	2026-04-04
824782	2026-04-04
822920	2026-04-04
823569	2026-04-04
824134	2026-04-04
823730	2026-04-04
825104	2026-04-04
824378	2026-04-04
823239	2026-04-04
824054	2026-04-04
824459	2026-04-05
824460	2026-04-05
822756	2026-04-05
823405	2026-04-05
824781	2026-04-05
823566	2026-04-05
824131	2026-04-05
824620	2026-04-05
823729	2026-04-05
