,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20
0,0.729594600983568,0.145173919095764,0.0690120513518773,0.0317349730372721,0.0141904117670441,0.00607864966753891,0.00252586912375645,0.00102424700739504,0.000407175201808088,0.000159224072075486,6.14072400844401e-5,2.34046072190245e-5,8.83002360630825e-6,3.30197795228657e-6,1.22520429034828e-6,4.51497485671138e-7,1.65364501658538e-7,6.02347189836671e-8,2.18326387550609e-8,7.87815285984106e-9,2.83125074092503e-9
1,0.583215015883541,0.163463839758286,0.130883188132992,0.0661091565337233,0.0316532268948909,0.0142359059410672,0.00614455454850362,0.00256722398633204,0.00104547133133786,0.000417016918034320,0.000163519427947907,6.32065124592107e-5,2.41361097344959e-5,9.12069837611668e-6,3.41540848945228e-6,1.26882016089770e-6,4.68063919440956e-7,1.71591863195371e-7,6.25548384512982e-8,2.26903843549290e-8,8.19311821032808e-9
2,0.400131180627065,0.320357467062801,0.142533832772802,0.0744802955062190,0.0352163727070750,0.0157854140484276,0.00678108822333794,0.00282285748694796,0.00114613121630919,0.000456032814185504,0.000178443696900567,6.88519813461906e-5,2.62513244459613e-5,9.90667328597405e-6,3.70535017375980e-6,1.37509468876244e-6,5.06796081297237e-7,1.85636079454321e-7,6.76238947283623e-8,2.45123910279026e-8,8.84554222226607e-9
3,0.379398095452461,0.213841045293513,0.151254372414228,0.130322242775664,0.0677229132899900,0.0323038504151164,0.0145219441030055,0.00626271417668319,0.00261472672847086,0.00106412195105627,0.000424211303497293,0.000166255560970736,6.42350822650685e-5,2.45190272254760e-5,9.26207663796423e-6,3.46723614581025e-6,1.28770176452411e-6,4.74905206496398e-7,1.74058615357530e-7,6.34404138355597e-8,2.30070690032185e-8
4,0.178322013132201,0.529074254826684,0.149140275016120,0.0778235021027874,0.0368172484350301,0.0166297864215942,0.00717648714132148,0.00299847296740231,0.00122102906246237,0.000487015490123474,0.000190954384499682,7.38061030958326e-5,2.81817669936770e-5,1.06487985183587e-5,3.98738482645570e-6,1.48122183349837e-6,5.46388201574267e-7,2.00295175747904e-7,7.30152912008048e-8,2.64834925637500e-8,9.56234475880502e-9
5,0.145478704976453,0.415448693331535,0.170107690775716,0.136438753675047,0.0713762125926776,0.0342899071738279,0.0154757771591110,0.00669403754828570,0.00280136481816483,0.00114223361345495,0.000456056213519605,0.000178967129772308,6.92219750321517e-5,2.64473073437017e-5,9.99858432116404e-6,3.74559687436815e-6,1.39195028306673e-6,5.13636193854234e-7,1.88347004073169e-7,6.86786594302919e-8,2.49167238971437e-8
6,0.157924653841970,0.262004468802348,0.290897162989610,0.146423134386972,0.0775319972801027,0.0367123245622883,0.0164837806852336,0.00708911631240698,0.00295323027441193,0.00119963686816806,0.000477476897448274,0.000186876838462270,7.21173872638110e-5,2.74994657414549e-5,1.03785444254696e-5,3.88207082647120e-6,1.44073837753640e-6,5.31005150306711e-7,1.94507721338693e-7,7.08566493302774e-8,2.56844228865669e-8
7,0.135587941785485,0.252519495594162,0.205209653689643,0.146830728087454,0.132349714344343,0.0688693536264573,0.0329379614136882,0.0148241261350669,0.00639881403834821,0.00267334345277904,0.00108854910753871,0.000434131800832740,0.000170202169726232,6.57787667834515e-5,2.51143481726522e-5,9.48892658599133e-6,3.55279389412681e-6,1.31968375105954e-6,4.86767249415107e-7,1.78427996216734e-7,6.50400434623748e-8
8,0.840165121895609,0.0965653417828773,0.0388632850505687,0.0150900855449058,0.00585304991250243,0.00219598773882206,0.000809281763312377,0.000294066517240040,0.000105674878906814,3.76325176574147e-5,1.33013248023728e-5,4.67179475700142e-6,1.63205770805139e-6,5.67510691393065e-7,1.96545040121328e-7,6.78290399381931e-8,2.33353635161522e-8,8.00589670897774e-9,2.73987186885032e-9,9.35589318405920e-10,3.18837764003644e-10
9,0.732309184277199,0.113092778111819,0.0915676417083305,0.0379352529462299,0.0154962935006919,0.00600704877436267,0.00227115014049752,0.000841578240927807,0.000307154668547515,0.000110765520706978,3.95587837108883e-5,1.40156532885231e-5,4.93265035966133e-6,1.72616907255805e-6,6.01133875798793e-7,2.08461327533800e-7,7.20239147054657e-8,2.48036702744042e-8,8.51732701476183e-9,2.91725485814462e-9,9.96884409017551e-10
10,0.602087021243733,0.232403326235874,0.0966549329222094,0.0417908387525400,0.0167410992082610,0.00647617587387472,0.00243660756107893,0.000899768960719959,0.000327492687656723,0.000117842187890163,4.20109817732767e-5,1.48623351367891e-5,5.22406115656554e-6,1.82618454319519e-6,6.35374068516954e-7,2.20156995219000e-7,7.60107695115946e-8,2.61602220276091e-8,8.97813094065974e-9,3.07354594116637e-9,1.04981994022300e-9
11,0.583828354153475,0.159267545709248,0.103396743536914,0.0901511557631408,0.0383101706976872,0.0154672035641161,0.00599549025582531,0.00226599211287430,0.000839540683775817,0.000306361617763399,0.000110465462689265,3.94475032124013e-5,1.39750166047866e-5,4.91798950865970e-6,1.72093119925611e-6,5.99277540533290e-7,2.07807845205333e-7,7.17951804890072e-8,2.47239992580624e-8,8.48969417718047e-9,2.90770627640494e-9
12,0.356520592063448,0.466939215164280,0.100304111959432,0.0459292018491085,0.0186170931208095,0.00730629019061881,0.00276872728315406,0.00102815941997337,0.000375852534913637,0.000135716342489301,4.85212692973229e-5,1.72062410192685e-5,6.06004805797041e-6,2.12204583248417e-6,7.39401624176978e-7,2.56532060180966e-7,8.86695377597628e-8,3.05473888795781e-8,1.04931065131717e-8,3.59503078533563e-9,1.22881799310906e-9
13,0.355664880490423,0.369343701922813,0.118235377402021,0.0896827876737298,0.0403518862914298,0.0164659569123973,0.00641033095960600,0.00242896867448757,0.000901752051807979,0.000329587348334050,0.000118991159764461,4.25361103549203e-5,1.50821879654669e-5,5.31146898779661e-6,1.85977080955446e-6,6.47971393575767e-7,2.24797588486936e-7,7.76966220214500e-8,2.67659144686209e-8,9.19378968494809e-9,3.14975990595633e-9
14,0.327542629667224,0.273516874442590,0.225619310860977,0.0963726529175623,0.0465101644957489,0.0187370055984657,0.00731735183939534,0.00277004470568863,0.00102794048446201,0.000375565263807965,0.000135551282639348,4.84443906647178e-5,1.71737250865792e-5,6.04703809922735e-6,2.11702496895658e-6,7.37512459170062e-7,2.55834456675902e-7,8.84156316980136e-8,3.04560272355415e-8,1.04605364019769e-8,3.58350851971684e-9
15,0.325022217020046,0.259516649119683,0.155485900349100,0.102202592063115,0.0930465483918557,0.0390682085053252,0.0158350275652961,0.00614499143853261,0.00232493591498324,0.000861980083493100,0.000314722811521752,0.000113529941293255,4.05563376655581e-5,1.43721121006990e-5,5.05900019016620e-6,1.77065328811417e-6,6.16706046745760e-7,2.13885806227549e-7,7.39054727704746e-8,2.54538916967258e-8,8.74129305696607e-9
16,0.930556588880781,0.0478436537960439,0.0148281152287579,0.00459830565861442,0.00148483717981615,0.000470426842783341,0.000149004033820429,4.71919612000250e-5,1.49473721885268e-5,4.73437192700543e-6,1.49954652295393e-6,4.74960426932853e-7,1.50437083476647e-7,4.76488456833810e-8,1.50921065741962e-8,4.78021403430037e-9,1.51406605176905e-9,4.79559281794702e-10,1.51893706675951e-10,4.81102107781476e-11,1.52382375265602e-11
17,0.873605098531368,0.0568945637724698,0.0479501569990041,0.0146036375439098,0.00475139777070822,0.00149985897815621,0.000475075845061084,0.000150461458782915,4.76570580379776e-5,1.50947107999566e-5,4.78104002318053e-6,1.51432762351247e-6,4.79642130199748e-7,1.51919947644908e-7,4.81185222436512e-8,1.52408700673379e-8,4.82733279363449e-9,1.52899026088954e-9,4.84286316654718e-10,1.53390928966777e-10,4.85844350338445e-11
18,0.786076320302347,0.142390295959113,0.0478246049057771,0.0161467594195952,0.00515759488093856,0.00164296567434334,0.000520282401284269,0.000164788170739631,5.21933688982277e-5,1.65315308685945e-5,5.23613230150048e-6,1.65847189901427e-6,5.25297816697373e-7,1.66380748876444e-7,5.26987791096075e-8,1.66916024778962e-8,5.28683202887421e-9,1.67453022790867e-9,5.30384069110479e-10,1.67991748418611e-10,5.32090407316960e-11
19,0.773301556425582,0.104019126617292,0.0537250645745814,0.0469213204537936,0.0150707237055594,0.00476313723925731,0.00150253490046577,0.000475915593554110,0.000150741425664362,4.77458952357745e-5,1.51228458768898e-5,4.78994990930397e-6,1.51714968499290e-6,4.80535979442879e-7,1.52203062076936e-7,4.82081947894547e-8,1.52692725940607e-8,4.83632889738635e-9,1.53183965114483e-9,4.85188821233568e-10,1.53676784690936e-10
20,0.747460904953630,0.180939186019147,0.0475698986178537,0.0163657211240026,0.00522024390762779,0.00167000432044571,0.000528894454502493,0.000167501468985687,5.30521319238163e-5,1.68035264434214e-5,5.32228481089126e-6,1.68575957531432e-6,5.33940807488452e-7,1.69118295334158e-7,5.35658587190236e-8,1.69662378376035e-8,5.37381894449621e-9,1.70208211888057e-9,5.39110745883351e-10,1.70755801440445e-10,5.40845159333519e-11
21,0.725627135840332,0.141591367440607,0.0623187735346012,0.0476149933325063,0.0156101395310855,0.00494975043011483,0.00156333581799709,0.000495026093337415,0.000156793577842099,4.96626674092792e-5,1.57299721965820e-5,4.98224886386944e-6,1.57805770701889e-6,4.99827743368031e-7,1.58313458913297e-7,5.01435776701565e-8,1.58822780989696e-8,5.03048983199823e-9,1.59333741621680e-9,5.04667379659343e-10,1.59846346103494e-10
22,0.740477683777967,0.0530928035260537,0.134787381000391,0.0465671832374634,0.0172771938789172,0.00531975180503685,0.00169354444173047,0.000535974631141126,0.000169780794555257,5.37748771231290e-5,1.70324806374245e-5,5.39479883952750e-6,1.70872727756716e-6,5.41215503696760e-7,1.71422454225162e-7,5.42956688889088e-8,1.71973950191640e-8,5.44703475418123e-9,1.72527220432314e-9,5.46455881656380e-10,1.73082270640313e-10
