Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1982,California Angels,AL West,162,93,69,0,.574,.588,1st of 7,--,Lost ALCS (3-2),814,670,2807360,32.4,31.8,37,17,D.DeCinces (7.6),G.Mauch (93-69)
1981,California Angels,AL West,110,51,59,0,.464,.523,5th of 7,13.5,,476,453,1441545,30.5,30.0,37,16,B.Grich (5.5),J.Fregosi (22-25) and G.Mauch (29-34)
1980,California Angels,AL West,160,65,95,0,.406,.440,6th of 7,31.0,,698,797,2297327,29.1,27.0,41,17,B.Grich (4.2),J.Fregosi (65-95)
1979,California Angels,AL West,162,88,74,0,.543,.555,1st of 7,--,Lost ALCS (3-1),866,768,2523575,28.4,27.5,39,15,B.Grich (6.0),J.Fregosi (88-74)
1978,California Angels,AL West,162,87,75,0,.537,.517,2nd of 7,5.0,,691,666,1755386,27.8,26.6,32,13,B.Grich (3.5),D.Garcia (25-21) and J.Fregosi (62-54)
1977,California Angels,AL West,162,74,88,0,.457,.487,5th of 7,28.0,,675,695,1432633,26.5,27.3,45,20,F.Tanana (8.3),N.Sherry (39-42) and D.Garcia (35-46)
1976,California Angels,AL West,162,76,86,0,.469,.437,4th of 6,14.0,,550,631,1006774,26.7,26.2,42,14,F.Tanana (7.5),D.Williams (39-57) and N.Sherry (37-29)
1975,California Angels,AL West,161,72,89,0,.447,.436,6th of 6,25.5,,628,723,1058163,25.6,26.3,48,19,F.Tanana (7.4),D.Williams (72-89)
1974,California Angels,AL West,163,68,94,1,.420,.472,6th of 6,22.0,,618,657,917269,27.7,25.6,45,20,N.Ryan (5.9),B.Winkles (30-44) W.Herzog (2-2) and D.Williams (36-48)
1973,California Angels,AL West,162,79,83,0,.488,.480,4th of 6,15.0,,629,657,1058206,29.7,28.3,40,14,N.Ryan (7.7),B.Winkles (79-83)
1972,California Angels,AL West,155,75,80,0,.484,.427,5th of 6,18.0,,454,533,744190,29.1,27.5,40,16,N.Ryan (6.3),D.Rice (75-80)
1971,California Angels,AL West,162,76,86,0,.469,.445,4th of 6,25.5,,511,576,926373,27.7,26.4,36,14,S.Alomar (5.2),L.Phillips (76-86)
1970,California Angels,AL West,162,86,76,0,.531,.501,3rd of 6,12.0,,631,630,1077741,26.6,26.0,40,16,J.Fregosi (7.7),L.Phillips (86-76)
1969,California Angels,AL West,163,71,91,1,.438,.405,3rd of 6,26.0,,528,652,758388,26.1,26.6,45,19,A.Messersmith (5.6),B.Rigney (11-28) and L.Phillips (60-63)
1968,California Angels,AL,162,67,95,0,.414,.405,8th of 10,36.0,,498,615,1025956,27.3,26.7,43,19,R.Reichardt (4.7),B.Rigney (67-95)
1967,California Angels,AL,161,84,77,0,.522,.484,5th of 10,7.5,,567,587,1317713,27.1,28.1,44,19,J.Fregosi (5.4),B.Rigney (84-77)
1966,California Angels,AL,162,80,82,0,.494,.471,6th of 10,18.0,,604,643,1400321,26.3,27.9,40,17,J.Fregosi (5.5),B.Rigney (80-82)
1965,California Angels,AL,162,75,87,0,.463,.465,7th of 10,27.0,,527,569,566727,26.4,25.0,42,16,J.Fregosi (5.3),B.Rigney (75-87)
1964,Los Angeles Angels,AL,162,82,80,0,.506,.494,5th of 10,17.0,,544,551,760439,27.3,26.3,41,19,D.Chance (8.7),B.Rigney (82-80)
1963,Los Angeles Angels,AL,161,70,91,0,.435,.454,9th of 10,34.0,,597,660,821015,27.5,28.0,37,18,A.Pearson (4.9),B.Rigney (70-91)
1962,Los Angeles Angels,AL,162,86,76,0,.531,.508,3rd of 10,10.0,,718,706,1144063,27.7,27.3,43,18,D.Chance (3.5),B.Rigney (86-76)
1961,Los Angeles Angels,AL,162,70,91,1,.435,.476,8th of 10,38.5,,744,784,603510,28.2,27.5,46,19,K.McBride (4.2),B.Rigney (70-91)
