Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2014,Pittsburgh Pirates,NL Central,162,88,74,0,.543,.535,2nd of 5,2.0,Lost NLWC (1-0),682,631,2442564,27.3,28.1,45,23,A.McCutchen (6.4),C.Hurdle (88-74)
2013,Pittsburgh Pirates,NL Central,162,94,68,0,.580,.543,2nd of 5,3.0,Lost NLDS (3-2),634,577,2256862,27.9,28.7,49,29,A.McCutchen (7.8),C.Hurdle (94-68)
2012,Pittsburgh Pirates,NL Central,162,79,83,0,.488,.484,4th of 6,18.0,,651,674,2091918,27.6,30.2,49,25,A.McCutchen (6.9),C.Hurdle (79-83)
2011,Pittsburgh Pirates,NL Central,162,72,90,0,.444,.430,4th of 6,24.0,,610,712,1940429,27.2,28.1,52,25,A.McCutchen (5.4),C.Hurdle (72-90)
2010,Pittsburgh Pirates,NL Central,162,57,105,0,.352,.329,6th of 6,34.0,,587,866,1613399,26.5,28.6,52,28,A.McCutchen (3.8),J.Russell (57-105)
2009,Pittsburgh Pirates,NL Central,161,62,99,0,.385,.415,6th of 6,28.5,,636,768,1577853,27.0,26.3,49,26,G.Jones (3.3),J.Russell (62-99)
2008,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.416,6th of 6,30.5,,735,884,1609076,28.4,26.5,47,26,P.Maholm (3.8),J.Russell (67-95)
2007,Pittsburgh Pirates,NL Central,162,68,94,0,.420,.429,6th of 6,17.0,,724,846,1749142,27.2,27.1,46,25,J.Wilson (3.6),J.Tracy (68-94)
2006,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.435,5th of 6,16.5,,691,797,1861549,27.8,27.0,42,22,F.Sanchez (4.4),J.Tracy (67-95)
2005,Pittsburgh Pirates,NL Central,162,67,95,0,.414,.444,6th of 6,33.0,,680,769,1817245,27.4,28.7,44,19,J.Bay (5.7),L.McClendon (55-81) and P.Mackanin (12-14)
2004,Pittsburgh Pirates,NL Central,161,72,89,0,.447,.459,5th of 6,32.5,,680,744,1580031,27.2,27.7,43,22,Ó.Pérez (5.9),L.McClendon (72-89)
2003,Pittsburgh Pirates,NL Central,162,75,87,0,.463,.472,4th of 6,13.0,,753,801,1636751,29.7,28.3,46,23,K.Wells (5.0),L.McClendon (75-87)
2002,Pittsburgh Pirates,NL Central,161,72,89,0,.447,.441,4th of 6,24.5,,641,730,1784988,27.9,28.1,38,19,B.Giles (5.4),L.McClendon (72-89)
2001,Pittsburgh Pirates,NL Central,162,62,100,0,.383,.380,6th of 6,31.0,,657,858,2464870,27.8,28.1,49,22,B.Giles (5.3),L.McClendon (62-100)
2000,Pittsburgh Pirates,NL Central,162,69,93,0,.426,.448,5th of 6,26.0,,793,888,1748908,28.3,27.1,46,24,B.Giles (6.4),G.Lamont (69-93)
1999,Pittsburgh Pirates,NL Central,161,78,83,0,.484,.496,3rd of 6,18.5,,775,782,1638023,28.3,26.8,45,21,B.Giles (6.7),G.Lamont (78-83)
1998,Pittsburgh Pirates,NL Central,163,69,93,1,.426,.455,6th of 6,33.0,,650,718,1560950,26.7,26.5,38,17,J.Kendall (5.6),G.Lamont (69-93)
1997,Pittsburgh Pirates,NL Central,162,79,83,0,.488,.478,2nd of 5,5.0,,725,760,1657022,26.6,25.7,43,21,F.Córdova (4.3),G.Lamont (79-83)
1996,Pittsburgh Pirates,NL Central,162,73,89,0,.451,.468,5th of 5,15.0,,776,833,1332150,28.8,27.9,46,25,D.Neagle (6.0),J.Leyland (73-89)
1995,Pittsburgh Pirates,NL Central,144,58,86,0,.403,.429,5th of 5,27.0,,629,736,905517,28.3,26.4,40,21,D.Neagle (4.5),J.Leyland (58-86)
1994,Pittsburgh Pirates,NL Central,114,53,61,0,.465,.401,3rd of 5,13.0,,466,580,1222520,29.1,27.2,39,18,J.Bell (3.4),J.Leyland (53-61)
1993,Pittsburgh Pirates,NL East,162,75,87,0,.463,.440,5th of 7,22.0,,707,806,1650593,28.1,27.6,47,23,J.Bell (6.2),J.Leyland (75-87)
1992,Pittsburgh Pirates,NL East,162,96,66,0,.593,.569,1st of 6,--,Lost NLCS (4-3),693,595,1829395,28.7,29.2,43,21,B.Bonds (9.0),J.Leyland (96-66)
1991,Pittsburgh Pirates,NL East,162,98,64,0,.605,.588,1st of 6,--,Lost NLCS (4-3),768,632,2065302,28.1,28.4,43,17,B.Bonds (8.0),J.Leyland (98-64)
