Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1986,Seattle Mariners,AL West,162,67,95,0,.414,.431,7th of 7,25.0,,718,835,1029045,26.7,26.9,40,17,M.Moore (4.6),C.Cottier (9-19) M.Martínez (0-1) and D.Williams (58-75)
1985,Seattle Mariners,AL West,162,74,88,0,.457,.441,6th of 7,17.0,,719,818,1128696,26.9,26.1,42,21,M.Moore (6.3),C.Cottier (74-88)
1984,Seattle Mariners,AL West,162,74,88,0,.457,.442,5th of 7,10.0,,682,774,870372,27.1,26.1,40,15,A.Davis (6.0),D.Crandall (59-76) and C.Cottier (15-12)
1983,Seattle Mariners,AL West,162,60,102,0,.370,.374,7th of 7,39.0,,558,740,813537,26.6,27.2,41,15,M.Young (5.1),R.Lachemann (26-47) and D.Crandall (34-55)
1982,Seattle Mariners,AL West,162,76,86,0,.469,.459,4th of 7,17.0,,651,712,1070404,28.0,27.3,40,15,F.Bannister (4.7),R.Lachemann (76-86)
1981,Seattle Mariners,AL West,110,44,65,1,.404,.409,6th of 7,20.0,,426,521,636276,28.6,26.8,38,15,T.Paciorek (4.3),M.Wills (6-18) and R.Lachemann (38-47)
1980,Seattle Mariners,AL West,163,59,103,1,.364,.382,7th of 7,38.0,,610,793,836204,28.6,26.5,34,13,F.Bannister (4.2),D.Johnson (39-65) and M.Wills (20-38)
1979,Seattle Mariners,AL West,162,67,95,0,.414,.435,6th of 7,21.0,,711,820,844447,28.6,25.5,35,17,M.Parrott (5.2),D.Johnson (67-95)
1978,Seattle Mariners,AL West,160,56,104,0,.350,.363,7th of 7,35.0,,614,834,877440,27.0,26.9,34,15,L.Roberts (4.4),D.Johnson (56-104)
1977,Seattle Mariners,AL West,162,64,98,0,.395,.360,6th of 7,38.0,,624,855,1338511,26.2,27.9,43,21,R.Jones (4.1),D.Johnson (64-98)
